,Unnamed: 0.1,Unnamed: 0,y,number_of_beds,markaze_behdasht,number_of_labs,number_of_active_beds,number_of_employees,number_of_doctors,number_of_pir_doctors,number_of_stuff,number_of_persons_in_hotels,number_of_travels_bus_inside,number_of_travels_bus_outside,number_of_travels_minibus_inside,number_of_travels_minibus_outside,number_of_travels_car_inside,number_of_travels_car_outside,number_of_person_bus_inside,number_of_person_bus_outside,number_of_person_minibus_inside,number_of_person_minibus_outside,number_of_person_car_inside,number_of_person_car_outside,covid,month,season
71,71,1399_12,2407.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,9124.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,0.5,12,4
72,72,1400_01,1992.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9100.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.5,1,1
73,73,1400_02,2122.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9098.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.5,2,1
74,74,1400_03,3277.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9098.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.5,3,1
75,75,1400_04,2873.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9051.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.5,4,2
76,76,1400_05,2523.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9052.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.5,5,2
77,77,1400_06,3178.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9020.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.5,6,2
78,78,1400_07,3102.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9020.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.5,7,3
79,79,1400_08,3420.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9025.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.5,8,3
80,80,1400_09,3295.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9035.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.5,9,3
81,81,1400_10,2938.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9025.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.5,10,4
82,82,1400_11,2870.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9025.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.0,11,4
83,83,1400_12,2780.0,2313.0,89.0,424.0,1930.0,5614.0,790.0,3262.0,1562.0,9025.0,9911.0,51022.0,9468.0,3441.0,2340.0,5714.0,153304.0,591908.0,10266.0,4616.0,2341.0,5751.0,0.0,12,4
84,84,1401_01,2319.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9095.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,1,1
85,85,1401_02,2901.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9110.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,2,1
86,86,1401_03,3933.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9180.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,3,1
87,87,1401_04,3519.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9180.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,4,2
88,88,1401_05,3583.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9198.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,5,2
89,89,1401_06,3870.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9198.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,6,2
90,90,1401_07,3162.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9200.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,7,3
91,91,1401_08,3581.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9200.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,8,3
92,92,1401_09,3570.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9225.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,9,3
93,93,1401_10,3049.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9225.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,10,4
94,94,1401_11,3122.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9238.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,11,4
95,95,1401_12,3228.0,2253.714285714286,85.42857142857143,356.57142857142856,1872.7142857142856,4804.428571428572,662.7142857142857,2634.285714285714,1507.428571428571,9240.0,11294.0,47243.0,9487.0,2312.0,2048.0,4270.0,208977.0,822597.0,13863.0,6923.0,2227.0,4639.0,0.0,12,4
