,City,random,Missing Rate,RMSE,MAE,R2
268,Chicago_Sketch,20,50,0.006901921897909097,0.0021423398389207354,0.3908466006781436
269,Chicago_Sketch,20,60,0.019670861105437722,0.0064869435347769825,0.4223028435146283
270,Chicago_Sketch,20,70,0.03230020860709813,0.008200635708934508,0.36869335552186866
271,Chicago_Sketch,20,80,0.046121569704644684,0.012191860552736128,0.45969962098444617
272,Chicago_Sketch,20,90,0.04069992848623084,0.011797725332371105,0.3921140446642193
273,Chicago_Sketch,20,95,0.048534025848719575,0.016107305787283335,0.2841265961131577
274,Chicago_Sketch,20,97,0.07460954611875663,0.01938430944492037,0.3026784592685712
275,Chicago_Sketch,25,10,0.006977343796877698,0.002073364989562167,0.5009609929698124
276,Chicago_Sketch,25,20,0.0177816705089476,0.0036108530367305056,0.35779440029553666
277,Chicago_Sketch,25,30,0.011584495987469242,0.0034835344649631643,0.37590945153819466
278,Chicago_Sketch,25,40,0.017797100563976695,0.00367986981344475,0.39139842952678994
279,Chicago_Sketch,25,50,0.02937782682480693,0.006205992362363474,0.49437699006763114
280,Chicago_Sketch,25,60,0.022450957096223103,0.006576091024273546,0.497774568155931
281,Chicago_Sketch,25,70,0.020185297802598173,0.006304109674051613,0.3435509743876467
282,Chicago_Sketch,25,80,0.02242147846179936,0.007029110253182325,0.4872750629206034
283,Chicago_Sketch,25,90,0.027840312410606548,0.008707384365862386,0.24963366918295204
284,Chicago_Sketch,25,95,0.029100638402756875,0.009120590451869139,0.35200549034017914
285,Chicago_Sketch,25,97,0.029198534057616306,0.00849588071237094,0.4004102749765476
286,Chicago_Sketch,30,10,0.006419734988997454,0.002009552431000134,0.5457519777029304
287,Chicago_Sketch,30,20,0.007603666525785213,0.002166131311059898,0.5839372867100281
288,Chicago_Sketch,30,30,0.026436267591780336,0.004002827118656718,0.22878496788287994
289,Chicago_Sketch,30,40,0.014669355639591196,0.0038764841111009777,0.5217696327405947
290,Chicago_Sketch,30,50,0.015600886812421614,0.0038853622878861965,0.30677677427960126
291,Chicago_Sketch,30,60,0.013562037861000622,0.0035938337967048716,0.30658534009895433
292,Chicago_Sketch,30,70,0.01327402076731603,0.0038113761246087734,0.38507452330077596
293,Chicago_Sketch,30,80,0.01342347886924467,0.0037746154164045244,0.33886855357431245
